disease,symptom,values
Condyloma acuminatum,Mass of urogenital structure,1
Febrile convulsion,Seizure,1
Disorder of cornea,Corneal pigmentations and deposits,1
Coronary artery spasm,Other forms of angina pectoris,1
Bathing cramp,Cramp finding,1
Bathing cramp,Bathing cramps  immersion or immersion,1
Cranial neuralgia,Neuropathic pain,1
Cranial neuralgia,Pain finding,1
5p partial monosomy syndrome,Cri du chat,1
Cutaneous endometriosis,Pain finding,1
Difficulty swallowing,Swallowing painful,1
Difficulty swallowing,Swallowing problem,1
Difficulty swallowing,Swallowing symptoms,1
Difficulty swallowing,Swallowing symptoms or dysphagia,1
Accretion on teeth,Extrinsic staining of teeth associated with inadequate oral hygiene,1
Accretion on teeth,Extrinsic staining of teeth associated with oral habits,1
Sensitive dentin,Tooth sensitivity to cold,1
Sensitive dentin,Tooth sensitivity to heat,1
Dermatitis disorder,Skin irritation,1
Generalized erythroderma,Erythema of skin,1
Erythrodermic eczema,Erythema of skin,1
Pityriasis rubra Hebra,Erythema of skin,1
Generalized exfoliative dermatitis,Erythema of skin,1
Generalized erythroderma,Erythematous condition,1
Erythrodermic eczema,Erythematous condition,1
Pityriasis rubra Hebra,Erythematous condition,1
Generalized exfoliative dermatitis,Erythematous condition,1
Developmental coordination disorder,Slowness and poor responsiveness,1
Diabetes mellitus,OE  right eye background diabetic retinopathy,1
Diabetes mellitus,OE  left eye background diabetic retinopathy,1
Diabetes mellitus,OE  right eye preproliferative diabetic retinopathy,1
Diabetes mellitus,OE  left eye preproliferative diabetic retinopathy,1
Diabetes mellitus,OE  right eye proliferative diabetic retinopathy,1
Diabetes mellitus,OE  left eye proliferative diabetic retinopathy,1
Diabetes mellitus,OE  right eye diabetic maculopathy,1
Diabetes mellitus,OE  left eye diabetic maculopathy,1
Diabetic retinopathy,OE  right eye background diabetic retinopathy,1
Diabetic retinopathy,OE  left eye background diabetic retinopathy,1
Diplopia disorder,Refractive diplopia,1
Diplopia disorder,Monocular diplopia,1
Diplopia disorder,Visual alteration,1
Disease disorder,Clinical finding,1
Disease disorder,Finding of vomiting,1
Disease disorder,Vomiting symptom,1
Complete trisomy 21 syndrome,Cry of Downs syndrome,1
Tear film insufficiency,Dry eyes,1
Tear film insufficiency,Dry eye,1
Infectious diarrheal disease,Diarrhea symptom,1
Infective diarrhea,Diarrhea symptom,1
Infectious diarrheal disease,Loose stool,1
Infective diarrhea,Loose stool,1
Dyskinesia,Motor dysfunction,1
Dyskinesia,Adiadochokinesia,1
Dyskinesia,Dysdiadochokinesis,1
Dyskinesia,Neonatal dyskinesia,1
Dyskinesia,Coordination problem,1
Pain in female genitalia on intercourse,Pain in female genitalia,1
Pain in female genitalia on intercourse,Pain on penetration,1
Paroxysmal dyspnea,Difficulty breathing,1
Paroxysmal dyspnea,Paroxysmal nocturnal dyspnea finding,1
Primary torsion dystonia,Diurnal dystonia,1
Torsion dystonia,Diurnal dystonia,1
Disorder of ear,Loudness recruitment,1
Disorder of ear,Paracusis disorder,1
Disorder of ear,Bleeding from ear,1
Disorder of ear,Deafness symptom,1
Eclampsia disorder,Seizure,1
Nutrition deficiency due to insufficient food,Starvation disorder,1
Subacute bacterial endocarditis,Oslers node,1
Disorder of endocrine system,Mass of endocrine structure,1
Disorder of endocrine system,Pain of endocrine structure,1
Endometriosis clinical,Pain finding,1
Endometriosis of fallopian tube,Pain finding,1
"Lyells toxic epidermal necrolysis, subepidermal type",Erythema of skin,1
"Lyells toxic epidermal necrolysis, subepidermal type",Erythematous condition,1
Epileptic seizure,Seizure,1
Seizure disorder,Seizure,1
Epileptic seizure,Epileptic aura,1
Seizure disorder,Epileptic aura,1
Epileptic seizure,Partial seizure,1
Seizure disorder,Partial seizure,1
Localizationrelated epilepsy,Seizure,1
Localizationrelated epilepsy,Partial seizure,1
Generalized epilepsy,Seizure,1
Tonicclonic epilepsy,Seizure,1
Epileptic seizures  myoclonic,Myoclonic disorder,1
Myoclonic seizure,Myoclonic disorder,1
Epileptic seizures  myoclonic,Seizure,1
Myoclonic seizure,Seizure,1
Childhood absence epilepsy,Seizure,1
Absence seizure,Seizure,1
Juvenile absence epilepsy,Seizure,1
Temporal lobe epilepsy,Seizure,1
Candidal intertrigo,Erythema of skin,1
Candidal intertrigo,Erythematous condition,1
Erythema chronica migrans,Erythema of skin,1
Erythema chronica migrans,Erythematous condition,1
Erythema multiforme,Erythema of skin,1
Erythema multiforme,Erythematous condition,1
Erythematosquamous dermatosis,Erythema of skin,1
Erythematosquamous dermatosis,Erythematous condition,1
Erythromelalgia disorder,Pain finding,1
Erythromelalgia disorder,Erythema of skin,1
Erythromelalgia disorder,Erythematous condition,1
Primary erythromelalgia,Pain finding,1
Primary erythromelalgia,Erythema of skin,1
Primary erythromelalgia,Erythematous condition,1
Stricture of esophagus,Bolus impaction,1
Cutaneous eruption,Erythema of skin,1
Eruption,Erythema of skin,1
Cutaneous eruption,Erythematous condition,1
Eruption,Erythematous condition,1
Cutaneous eruption,Macular eruption,1
Eruption,Macular eruption,1
Cutaneous eruption,Weal,1
Eruption,Weal,1
Cutaneous eruption,Meningococcal rash,1
Eruption,Meningococcal rash,1
Cutaneous eruption,Spots on skin disorder,1
Eruption,Spots on skin disorder,1
Exophthalmos disorder,Exophthalmos due to orbital edema or congestion,1
Extrapyramidal disease,Athetoid movement,1
Extrapyramidal disease,Hemiballism disorder,1
Disorder of eye proper disorder,Internal ophthalmoplegia,1
Disorder of eye proper disorder,Discharge of eye,1
Disorder of eye proper disorder,Contact lens related disorder,1
Disorder of eyelid,Blepharospasm disorder,1
Failure to thrive in infant,Failure to gain weight finding,1
Failure to thrive,Failure to gain weight finding,1
Failure to thrive in infant,Physiological development failure,1
Failure to thrive,Physiological development failure,1
Failure to thrive in infant,"DWeight, failure to gain, infant",1
Failure to thrive,"DWeight, failure to gain, infant",1
Failure to thrive in infant,"Weight,fail to gain,infant D",1
Failure to thrive,"Weight,fail to gain,infant D",1
Farmers lung,Diffuse inflammation,1
Incontinence of feces,Spillage of feces,1
Incontinence of feces,Spurious diarrhea  overflow,1
Incontinence of feces,Double incontinence finding,1
Incontinence of feces,Bowels: occasional accident,1
Incontinence of feces,Neuromyopathic fecal incontinence,1
Incontinence of feces,Congenital fecal incontinence,1
Incontinence of feces,Fecal fluid leakage,1
Nonreassuring fetal status,Fetal distress  prelabor,1
Nonreassuring fetal status,Fetal distress  in labor,1
Fibromyositis,Pain finding,1
Muscular rheumatism,Pain finding,1
Focal motor seizure,Seizure,1
Simple partial seizure with motor dysfunction,Seizure,1
Focal motor seizure,Partial seizure,1
Simple partial seizure with motor dysfunction,Partial seizure,1
Eruption cyst,Mass of digestive structure,1
Freemartin,Virilization finding,1
Functional disorder of intestine,Constipation disorder,1
Functional disorder of intestine,Hyperactive rectosigmoid junction,1
Functional disorder of intestine,Abnormal large bowel motility,1
Functional disorder of intestine,Bowel spasm,1
Generalized nonconvulsive epilepsy,Seizure,1
Disorder of female genital system,Leukoplakia of female genital organs,1
Disorder of female genital organs,Leukoplakia of female genital organs,1
Disorder of female genital system,Mass of female genital structure,1
Disorder of female genital organs,Mass of female genital structure,1
Disorder of male genital organ,Pain in testicle finding,1
Disorder of male genital organ,Edema of male genital organs,1
Disorder of male genital organ,Pain in scrotum finding,1
Disorder of male genital organ,Burning scrotum,1
Disorder of male genital organ,Pruritus of male genital organs,1
Disorder of male genital organ,Leukoplakia of male genital organs,1
Disorder of male genital organ,Persistent testicular pain,1
Disorder of male genital organ,Tenderness of male genitalia,1
Laryngeal granuloma,Mass of respiratory structure,1
Central hearing loss,Bilateral central hearing loss,1
Day blindness,Subjective visual disturbance,1
Hematotympanum,Bleeding from ear,1
Mild hyperemesis gravidarum,Hyperemesis gravidarum,1
Mild hyperemesis gravidarum,Finding of vomiting,1
Mild hyperemesis gravidarum,Vomiting symptom,1
Hyperesthesia dolorosa,Skin sensation disturbance,1
Hyperesthesia dolorosa,Hyperesthesia finding,1
Hypertensive disorder,Paroxysmal hypertension,1
Excessive hair growth,Excessive growth of facial hair,1
Excessive hair growth,Excessive growth of body hair,1
Excessive hair growth,Excessive growth of leg hair,1
Congenital ichthyosis of skin,Harlequin change,1
Neonatal disorder disorder,Edema of newborn,1
Disorders of initiating and maintaining sleep,Insomnia disorder,1
Intertrigo disorder,Erythema of skin,1
Intertrigo disorder,Erythematous condition,1
Disorder of intestine,Gastrointestinal symptom,1
Disorder of intestine,Mass of digestive structure,1
Neonatal jaundice,Newborn physiological jaundice disorder,1
Obstructive hyperbilirubinemia,DJaundice not of newborn,1
Cholestatic jaundice syndrome,DJaundice not of newborn,1
Obstructive hyperbilirubinemia,DJaundice not of newborn NOS,1
Cholestatic jaundice syndrome,DJaundice not of newborn NOS,1
Disorder of jaw,Abnormal jaw movement,1
Arthropathy disorder,Rubella arthralgia,1
Ophthalmoplegia plus syndrome,Ophthalmoplegia disorder,1
Oculocraniosomatic syndrome,Ophthalmoplegia disorder,1
Leukoplakia of penis,Leukoplakia of male genital organs,1
Labyrinthine disorder disorder,Syncopal vertigo,1
Disorder of lacrimal system,Dacryops,1
Speech and language disorder,Loss of voice,1
Laryngeal spasm,Spasm finding,1
Laryngismus stridulus,Spasm finding,1
Laryngeal spasm,Stridor finding,1
Laryngismus stridulus,Stridor finding,1
Leukorrhea finding,Leukorrhoea unspecified,1
Leukorrhea finding,Leukorrhea unspecified,1
Leukorrhea finding,Leukorrhea unspecified or vaginal discharge NOS,1
Leukorrhea finding,Leukorrhoea unspecified or vaginal discharge NOS,1
Disorder of lip,Cheilodynia disorder,1
Disorder of lip,Chapping of lips,1
Disorder of lip,Cracked lips,1
Disease of liver,Large liver,1
Disease of liver,Hepatocellular jaundice,1
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tender lymph node,1
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tenderness of lymphoreticular structure,1
Lymphocyst,Mass of lymphoreticular structure,1
Lymph cyst,Mass of lymphoreticular structure,1
Malarial fever,Intermittent fever,1
Disease due to Plasmodiidae,Intermittent fever,1
Malarial fever,Malarial pigment deposition,1
Disease due to Plasmodiidae,Malarial pigment deposition,1
Melanosis morphologic abnormality,Melasma gravidarum,1
Melanosis disorder,Melasma gravidarum,1
Chloasma disorder,Melasma gravidarum,1
Ménières disease,Secondary endolymphatic hydrops,1
Meningococcal infectious disease,Meningococcal rash,1
Metabolic disease,Hypoproteinemia disorder,1
Generalized metabolic disorder,Hypoproteinemia disorder,1
Metabolic disease,Polyuric state,1
Generalized metabolic disorder,Polyuric state,1
Motion sickness,Nausea finding,1
Dental fluorosis,Teeth staining due to drugs,1
Disease of mouth,Oral paresthesia,1
Disease of mouth,Oral hypoesthesia,1
Disease of mouth,Edema of oral vestibule,1
Movement disorder,Myoclonic disorder,1
Movement disorder,Grimaces,1
Movement disorder,Painful legs and moving toes,1
Disorder of muscle,Gastric spasm,1
Disorder of muscle,Flaccidity of muscle of upper limb,1
Myalgia and myositis unspecified,Muscle pain,1
Myalgia and myositis unspecified,Muscle tension pain,1
Myalgia and myositis unspecified,Skeletal muscle tender finding,1
Myxedema disorder,Hard edema,1
Disorder of nail,Subungual hyperkeratosis,1
Disorder of nail,Clubbing of nail disorder,1
Disorder of nail,Onychomadesis,1
Narcolepsy disorder,Hypersomnia disorder,1
Nasociliary neuralgia,Pain finding,1
Disorder of nasopharynx,Palatal myoclonus,1
Disorder of nervous system,Reaction to spinal or lumbar puncture disorder,1
Disorder of the nose,Snuffles,1
Disorder of the nose,Nasal discharge,1
Disorder of the nose,Nasal discharge present,1
Nystagmus disorder,Voluntary nystagmus,1
Nystagmus disorder,Irregular nystagmus,1
Nystagmus disorder,Uniocular nystagmus,1
Nystagmus disorder,Gaze paretic nystagmus,1
Nystagmus disorder,Nystagmus produced by neck rotation,1
Nystagmus disorder,Nystagmus enhanced when fixation removed,1
Nystagmus disorder,Nystagmus unchanged when fixation removed,1
Nystagmus disorder,Nystagmus inhibited when fixation removed,1
Nystagmus disorder,Nystagmus signs,1
Nystagmus disorder,Elliptical nystagmus,1
Disorder of eye movements,Ophthalmoplegia disorder,1
Disorder of eye movements,Pseudoophthalmoplegia disorder,1
Omphalitis,Disorder of umbilicus,1
Pachydermoperiostosis syndrome,Clubbing morphologic abnormality,1
Pachydermoperiostosis of nail,Clubbing morphologic abnormality,1
Other and unspecified diseases of oral soft tissue,Paralysis of palate,1
Other and unspecified diseases of oral soft tissue,Painful mouth,1
Other and unspecified diseases of oral soft tissue,Edema of oral soft tissues,1
Other and unspecified diseases of oral soft tissue,Discomfort in mouth,1
Other and unspecified diseases of oral soft tissue,Mouth symptoms,1
Other and unspecified diseases of oral soft tissue,Sore lip finding,1
Other and unspecified diseases of oral soft tissue,Edema of uvula,1
Other and unspecified diseases of oral soft tissue,Mass of oral cavity,1
Other and unspecified diseases of oral soft tissue,Pain of oral cavity structure,1
Other and unspecified diseases of oral soft tissue,Tenderness of oral cavity structure,1
Other and unspecified diseases of oral soft tissue,Edema of oral vestibule,1
Other and unspecified diseases of oral soft tissue,Sore mouth finding,1
Other nonalcoholic chronic liver disease,Hepatosplenomegaly,1
Other nonalcoholic chronic liver disease NOS,Hepatosplenomegaly,1
Other nasal cavity and sinus disease,Nasal congestion,1
Other nasal cavity and sinus disease,Posterior rhinorrhea disorder,1
Other nasal cavity and sinus disease,Congestion of nasal sinus,1
Other nasal cavity and sinus disease,Purulent nasal discharge,1
Other nasal cavity and sinus disease,Purulent rhinitis,1
Other nasal cavity and sinus disease,Catarrhal nasal discharge,1
Other nasal cavity and sinus disease,Sore nostril,1
Other nasal cavity and sinus disease,Maxillary sinus pain,1
Other nasal cavity and sinus disease,Frontal sinus pain,1
Other nasal cavity and sinus disease,Snuffles,1
Other nasal cavity and sinus disease,Nasal discharge,1
Other nasal cavity and sinus disease,Nasal discharge present,1
Other disorders of plasma protein metabolism NOS,Hypoproteinemia disorder,1
Other disorder of plasma protein metabolism,Hypoproteinemia disorder,1
Other forms of nystagmus disorder,Voluntary nystagmus,1
Other forms of nystagmus disorder,Mixed nystagmus,1
Other forms of nystagmus disorder,Postural nystagmus,1
Other forms of nystagmus disorder,Spontaneous nystagmus,1
Other forms of nystagmus disorder,Body positional nystagmus,1
Other forms of nystagmus disorder,Neck positional nystagmus,1
Other forms of nystagmus disorder,"Positional nystagmus, variable eye direction",1
Other forms of nystagmus disorder,Nystagmus produced by neck rotation,1
Other forms of nystagmus disorder,Nystagmus enhanced when fixation removed,1
Other forms of nystagmus disorder,Nystagmus unchanged when fixation removed,1
Other forms of nystagmus disorder,Nystagmus inhibited when fixation removed,1
Other forms of nystagmus disorder,Bruns nystagmus,1
Other forms of nystagmus disorder,Elliptical nystagmus,1
Other specific muscle disorder,Flaccidity  muscle,1
Other specified disorders of muscle,Flaccidity  muscle,1
Other specific muscle disorder NOS,Flaccidity  muscle,1
Other specific muscle disorder,Flaccidity,1
Other specified disorders of muscle,Flaccidity,1
Other specific muscle disorder NOS,Flaccidity,1
Other specific muscle disorder,Drop attack,1
Other specified disorders of muscle,Drop attack,1
Other specific muscle disorder NOS,Drop attack,1
Other specific muscle disorder,Flaccidity of muscle of lower limb,1
Other specified disorders of muscle,Flaccidity of muscle of lower limb,1
Other specific muscle disorder NOS,Flaccidity of muscle of lower limb,1
Other specified diseases of hard tissues of teeth,Tooth sensitivity to cold,1
Other specified diseases of hard tissues of teeth,Tooth sensitivity to heat,1
Other specified diseases of pancreas,Courvoisiers sign,1
Other specified diseases of pancreas,Pancreatic pain,1
Other specified disorders of bladder,Bladder distention finding,1
Other specified disorders of bladder,Painful bladder spasm,1
Other specified disorders of bladder,Spasm of bladder,1
Other specified disorders of kidney and ureter,Ureteric neuromuscular incoordination,1
Other male genital organ diseases OS,Spermatoschesis,1
Other specified diseases of male genital organ,Spermatoschesis,1
Other specified disorders of male genital organs,Spermatoschesis,1
Other male genital organ diseases OS,Spermatemphraxis,1
Other specified diseases of male genital organ,Spermatemphraxis,1
Other specified disorders of male genital organs,Spermatemphraxis,1
Other male genital organ diseases OS,Painful sexual act of male,1
Other specified diseases of male genital organ,Painful sexual act of male,1
Other specified disorders of male genital organs,Painful sexual act of male,1
Other male genital organ diseases OS,Pain in male perineum,1
Other specified diseases of male genital organ,Pain in male perineum,1
Other specified disorders of male genital organs,Pain in male perineum,1
Other male genital organ diseases OS,Vas deferens tender,1
Other specified diseases of male genital organ,Vas deferens tender,1
Other specified disorders of male genital organs,Vas deferens tender,1
Other male genital organ diseases OS,Painful ejaculation finding,1
Other specified diseases of male genital organ,Painful ejaculation finding,1
Other specified disorders of male genital organs,Painful ejaculation finding,1
Other male genital organ diseases OS,Testicular neuralgia,1
Other specified diseases of male genital organ,Testicular neuralgia,1
Other specified disorders of male genital organs,Testicular neuralgia,1
Other male genital organ diseases OS,Mass of male genital structure,1
Other specified diseases of male genital organ,Mass of male genital structure,1
Other specified disorders of male genital organs,Mass of male genital structure,1
Other male genital organ diseases OS,Inflammatory testicular mass,1
Other specified diseases of male genital organ,Inflammatory testicular mass,1
Other specified disorders of male genital organs,Inflammatory testicular mass,1
Other specified disorders of penis,Irritation of penis,1
Other specified skin disorder NOS,Macular eruption,1
Other specified skin disorders,Macular eruption,1
Other specified skin disorder NOS,Weal,1
Other specified skin disorders,Weal,1
Other specified skin disorder NOS,Puffiness of skin,1
Other specified skin disorders,Puffiness of skin,1
Other specified skin disorder NOS,Auspitzs sign,1
Other specified skin disorders,Auspitzs sign,1
Other specified skin disorder NOS,Menstrual urticaria,1
Other specified skin disorders,Menstrual urticaria,1
Other specified skin disorder NOS,Chapping of lips,1
Other specified skin disorders,Chapping of lips,1
Other specified skin disorder NOS,Cracked lips,1
Other specified skin disorders,Cracked lips,1
Other specified skin disorder NOS,Macerated skin,1
Other specified skin disorders,Macerated skin,1
Other specified skin disorder NOS,Bullous weal,1
Other specified skin disorders,Bullous weal,1
Other specified skin disorder NOS,Malarial pigment deposition,1
Other specified skin disorders,Malarial pigment deposition,1
Other specified disorders of teeth and supporting structures,Loosening of tooth disorder,1
Other specified erythematous conditions,Erythema of skin,1
Other specified erythematous conditions,Erythematous condition,1
Other specified erythematous conditions,Erythema scarlatiniforme,1
Other specified erythematous conditions,Erythema fugax,1
Other specified erythematous conditions,Erythematous ear canal,1
Other specified erythematous conditions,Micropapular weal,1
Other specified erythematous conditions,Erythematous mucosa,1
Other specified atrophic and hypertrophic conditions of skin,Circumoral rhytides,1
Other specified atrophic and hypertrophic conditions of skin NOS,Circumoral rhytides,1
Other specified atrophic and hypertrophic conditions of skin,Stellate pseudoscar,1
Other specified atrophic and hypertrophic conditions of skin NOS,Stellate pseudoscar,1
Other specified myoneural disorders,Benign congenital hypotonia disorder,1
Other specified noninflammatory disorders of vagina,Swelling of vagina,1
Other specified periodontal disease,Sore gums,1
Other specified periodontal disease NOS,Sore gums,1
Other specified periodontal disease,Gingival edema,1
Other specified periodontal disease NOS,Gingival edema,1
Other specified schistosoma NOS,Schistosomal pigment deposition,1
Other specified urticaria NOS,Immune complex urticaria,1
Other synovitis and tenosynovitis,Subsultus tendinum,1
Disorder of pancreas,Pancreatic symptom,1
Erythema nodosum migrans,Erythema of skin,1
Erythema nodosum migrans,Erythematous condition,1
Optic disc swelling,Mass of eye structure,1
Optic papillitis,Mass of eye structure,1
Optic disc edema,Mass of eye structure,1
Optic disc swelling,Swelling of structure of eye,1
Optic papillitis,Swelling of structure of eye,1
Optic disc edema,Swelling of structure of eye,1
Parakeratosis disorder,Erythema of skin,1
Parakeratosis morphologic abnormality,Erythema of skin,1
Parakeratosis disorder,Erythematous condition,1
Parakeratosis morphologic abnormality,Erythematous condition,1
Paramyoclonus multiplex,Myoclonic disorder,1
Disorder of nasal sinus,Congestion of nasal sinus,1
Paraplegia disorder,Spinal paraparesis,1
Paraplegia disorder,Flaccid paraplegia,1
Parasomnia disorder,Sleeprelated head banging,1
Parasomnia disorder,Reaction to sudden wakening,1
Parasomnia disorder,Sleep automatism,1
Parkinsons disease,Parkinsonian tremor,1
Disorder of penis,Lesion of penis,1
Disorder of penis,Edema of penis,1
Disorder of penis,Pruritus of penis,1
Disorder of penis,Pain in penis finding,1
Apical granuloma,Mass of oral cavity,1
Disorder of the peripheral nervous system,Neuropathic pain,1
Peripheral nerve disease,Neuropathic pain,1
Disorder of the peripheral nervous system,Intercostal neuralgia,1
Peripheral nerve disease,Intercostal neuralgia,1
Disorder of the peripheral nervous system,Cruralgia,1
Peripheral nerve disease,Cruralgia,1
Peripheral neuralgia,Neuropathic pain,1
Peripheral neuralgia,Pain finding,1
Peripheral neuralgia,Sciatica disorder,1
Peripheral neuralgia,Femoral neuralgia,1
Peripheral neuralgia,Intercostal neuralgia,1
Peripheral neuralgia,Lateral femoral cutaneous neuralgia,1
Peripheral neuralgia,Obturator neuralgia,1
Peripheral neuralgia,Cruralgia,1
Peripheral neuralgia,Segmental peripheral neuralgia,1
Peripheral neuralgia,Ilioinguinal nerve neuralgia,1
Peripheral neuralgia,Genitofemoral nerve neuralgia,1
Peripheral neuralgia,Testicular neuralgia,1
Disorder of peritoneum,Intraabdominal collection,1
Petechia,Neonatal facial petechiae,1
Petechiae of skin,Neonatal facial petechiae,1
Pharyngitis disorder,Pain in throat,1
Pharyngitis disorder,Sore throat symptom,1
Polymorphic light eruption,Juvenile spring eruption,1
Polymorphous light eruption,Juvenile spring eruption,1
Photodermatitis disorder,Actinic reaction,1
Epidemic pleurodynia,Pain finding,1
Pneumatosis cystoides intestinalis,Mass of digestive structure,1
Polymyalgia rheumatica,Pain finding,1
Polymyalgia rheumatica,Polymyalgia,1
Postherpetic neuralgia disorder,Neuropathic pain,1
Postherpetic neuralgia disorder,Pain finding,1
Postinfectious neuralgia,Neuropathic pain,1
Postinfectious neuralgia,Pain finding,1
Pregnancy complications,Pruritus of pregnancy,1
Complication related to pregnancy,Pruritus of pregnancy,1
Pregnancy complications,Back pain complicating pregnancy,1
Complication related to pregnancy,Back pain complicating pregnancy,1
Ectopic atrial beats,Junctional premature beats,1
Supraventricular premature beats,Junctional premature beats,1
Atrial premature complex,Junctional premature beats,1
Premature atrial contraction,Junctional premature beats,1
Pretibial myxedema,Edema of lower leg,1
Priapism disorder,Painful penile erection,1
Priapism disorder,Priapism or erection  painful,1
Primary insomnia,Insomnia disorder,1
Disorder of prostate,Prostatic pain finding,1
Disorder of prostate,Prostatism disorder,1
Disorder of prostate,Prostatorrhea,1
Pruritic rash,Pruritus of skin,1
Pruritic rash,Itching of skin,1
Pruritic rash,Itch of skin,1
Prurigo papule,Pruritus of skin,1
Prurigo papule,Itching of skin,1
Prurigo papule,Itch of skin,1
Tensiontype headache,Headache finding,1
Psychogenic headache,Headache finding,1
Tensiontype headache,Occipital headache,1
Psychogenic headache,Occipital headache,1
Purpuric disorder,Cryoglobulinemic purpura,1
Quadriplegia disorder,Flaccid tetraplegia,1
Radiculitis disorder,Neuropathic pain,1
"Complex regional pain syndrome, type I",Pain finding,1
Shoulderhand syndrome,Pain finding,1
Disorder of refraction,Aniseikonia disorder,1
Disorder of refraction,Refractive diplopia,1
Disorder of respiratory system,DRespiratory abnormalities,1
Disorder of respiratory system,DRespiratory abnormalities NOS,1
Disorder of respiratory system,Restrained respiration,1
Retinopathy,Retina finding,1
Retinal disorder,Retina finding,1
Retinopathy,OE  retinopathy,1
Retinal disorder,OE  retinopathy,1
