disease_cui,rid_caller_caller,rid_caller_caller,snomed_code_caller,Terms_caller,rid_caller,Number of diseases,rid_caller,snomed_code,Terms,rid,Number of symptoms
C0007761,312,241.0,127324008.0,Myoclonic disorder,7.0,29.0,1631,73495003,Dyssynergia cerebellaris myoclonica,101,3
C0007761,1462,,,,,,78,41009006,Progressive cerebellar tremor,101,3
C0007761,1462,,,,,,748,192871008,Early onset cerebellar ataxia with myoclonus,101,3
C0007761,1462,,,,,,1631,73495003,Dyssynergia cerebellaris myoclonica,101,3
C0007862,1172,411.0,22253000.0,Pain (finding),2.0,136.0,1250,35635000,Cervicobrachial neuralgia,1369,1
C0007863,2055,477.0,301365009.0,Pain of head and neck region,190.0,3.0,1661,71760005,Cervico-occipital neuralgia,965,1
C0007932,10,102.0,42849000.0,Trypanosomal chancre,83.0,4.0,327,54570006,Chagas' disease without mention of organ involvement (disorder),376,1
C0008489,11,5.0,267078001.0,Involuntary movement,64.0,5.0,962,271700006,Chorea (finding),154,2
C0008489,11,643.0,162227008.0,Involuntary movement symptom,64.0,5.0,962,271700006,Chorea (finding),154,2
C0008489,1173,808.0,229693007.0,Oral choreiform movement,607.0,1.0,962,271700006,Chorea (finding),154,2
C0008679,902,306.0,63722008.0,Chronic vomiting,731.0,1.0,148,27624003,Chronic disease (disorder),433,1
C0008711,12,265.0,14310000.0,Purulent nasal discharge,36.0,8.0,815,86094006,Chronic rhinitis,311,2
C0008711,12,582.0,8442000.0,Purulent rhinitis,36.0,8.0,815,86094006,Chronic rhinitis,311,2
C0008711,1763,529.0,195764003.0,(Chronic rhinitis) or (catarrh unspecified),627.0,1.0,815,86094006,Chronic rhinitis,311,2
C0009088,596,156.0,25064002.0,Headache (finding),4.0,59.0,182,193947008,Ciliary neuralgia,65,3
C0009088,596,156.0,25064002.0,Headache (finding),4.0,59.0,402,230473009,Chronic cluster headache,65,3
C0009088,596,156.0,25064002.0,Headache (finding),4.0,59.0,1056,193031009,Cluster headache,65,3
C0009088,1174,430.0,247398009.0,Neuropathic pain,13.0,16.0,182,193947008,Ciliary neuralgia,65,3
C0009088,1174,430.0,247398009.0,Neuropathic pain,13.0,16.0,402,230473009,Chronic cluster headache,65,3
C0009088,1174,430.0,247398009.0,Neuropathic pain,13.0,16.0,1056,193031009,Cluster headache,65,3
C0009088,313,411.0,22253000.0,Pain (finding),2.0,136.0,182,193947008,Ciliary neuralgia,65,3
C0009088,313,411.0,22253000.0,Pain (finding),2.0,136.0,402,230473009,Chronic cluster headache,65,3
C0009088,313,411.0,22253000.0,Pain (finding),2.0,136.0,1056,193031009,Cluster headache,65,3
C0009373,1175,177.0,14760008.0,Constipation (disorder),17.0,12.0,1599,128524007,Disorder of colon,749,1
C0009421,2056,49.0,206710005.0,[D]Coma &/or [D]stupor,500.0,1.0,220,371632003,Coma (disorder),814,1
C0009421,2056,574.0,206717008.0,[D]Coma and stupor NOS,500.0,1.0,220,371632003,Coma (disorder),814,1
C0009421,2056,795.0,158119002.0,[D]Coma and stupor,500.0,1.0,220,371632003,Coma (disorder),814,1
C0009443,1176,669.0,249369003.0,Sinus catarrh,677.0,1.0,670,82272006,Common cold,454,1
C0009663,14,190.0,300569009.0,Perineal lump (finding),60.0,6.0,436,266113007,Genital warts,74,3
C0009663,14,190.0,300569009.0,Perineal lump (finding),60.0,6.0,1544,240542006,Condyloma acuminatum,74,3
C0009663,13,154.0,240598006.0,Penile warts,103.0,4.0,436,266113007,Genital warts,74,3
C0009663,13,154.0,240598006.0,Penile warts,103.0,4.0,1544,240542006,Condyloma acuminatum,74,3
C0009663,2057,469.0,300856000.0,Mass of urogenital structure,759.0,1.0,436,266113007,Genital warts,74,3
C0009663,2057,469.0,300856000.0,Mass of urogenital structure,759.0,1.0,1544,240542006,Condyloma acuminatum,74,3
C0009952,597,561.0,91175000.0,Seizure,1.0,169.0,261,41497008,Febrile convulsion,1174,1
C0010034,1177,806.0,267637004.0,Corneal pigmentations and deposits,92.0,4.0,141,15250008,Disorder of cornea,1370,1
C0010073,903,174.0,195541002.0,[X]Other forms of angina pectoris,15.0,14.0,843,23687008,Coronary artery spasm,576,1
C0010264,314,730.0,55300003.0,Cramp (finding),713.0,1.0,844,83906008,Bathing cramp,345,2
C0010264,1463,709.0,157740007.0,(Bathing cramps - immersion) or (immersion),538.0,1.0,844,83906008,Bathing cramp,345,2
C0010269,315,430.0,247398009.0,Neuropathic pain,13.0,16.0,1222,23096007,Cranial neuralgia,161,2
C0010269,316,411.0,22253000.0,Pain (finding),2.0,136.0,1222,23096007,Cranial neuralgia,161,2
C0010314,15,630.0,42712003.0,Cri du chat,651.0,1.0,683,70173007,5p partial monosomy syndrome,982,1
C0010488,1178,411.0,22253000.0,Pain (finding),2.0,136.0,1288,35543003,Cutaneous endometriosis,590,1
C0011168,1179,393.0,30233002.0,Swallowing painful,608.0,1.0,543,288939007,Difficulty swallowing,44,4
C0011168,16,713.0,399122003.0,Swallowing problem,703.0,1.0,543,288939007,Difficulty swallowing,44,4
C0011168,1464,70.0,267048005.0,Swallowing symptoms,742.0,1.0,543,288939007,Difficulty swallowing,44,4
C0011168,1465,485.0,139289002.0,(Swallowing symptoms) or (dysphagia),743.0,1.0,543,288939007,Difficulty swallowing,44,4
C0011346,317,344.0,109597009.0,Extrinsic staining of teeth associated with inadequate oral hygiene,267.0,2.0,75,6288001,Accretion on teeth,312,2
C0011346,17,29.0,109598004.0,Extrinsic staining of teeth associated with oral habits,244.0,2.0,75,6288001,Accretion on teeth,312,2
C0011432,1466,366.0,109594002.0,Tooth sensitivity to cold,313.0,2.0,1123,13468005,Sensitive dentin,299,2
C0011432,1764,689.0,109593008.0,Tooth sensitivity to heat,283.0,2.0,1123,13468005,Sensitive dentin,299,2
C0011603,2058,570.0,367466007.0,Skin irritation,188.0,3.0,483,182782007,Dermatitis (disorder),506,1
C0011606,598,618.0,444827008.0,Erythema of skin,3.0,89.0,60,396349005,Generalized erythroderma,1027,1
C0011606,598,618.0,444827008.0,Erythema of skin,3.0,89.0,285,400005007,Erythrodermic eczema,1027,1
C0011606,598,618.0,444827008.0,Erythema of skin,3.0,89.0,286,200948000,Pityriasis rubra (Hebra),1027,1
C0011606,598,618.0,444827008.0,Erythema of skin,3.0,89.0,1158,396350005,Generalized exfoliative dermatitis,1027,1
C0011606,598,830.0,86735004.0,Erythematous condition,3.0,89.0,60,396349005,Generalized erythroderma,1027,1
C0011606,598,830.0,86735004.0,Erythematous condition,3.0,89.0,285,400005007,Erythrodermic eczema,1027,1
C0011606,598,830.0,86735004.0,Erythematous condition,3.0,89.0,286,200948000,Pityriasis rubra (Hebra),1027,1
C0011606,598,830.0,86735004.0,Erythematous condition,3.0,89.0,1158,396350005,Generalized exfoliative dermatitis,1027,1
C0011757,18,514.0,274660003.0,Slowness and poor responsiveness,458.0,1.0,52,27544004,Developmental coordination disorder,377,1
C0011849,904,166.0,408409007.0,O/E - right eye background diabetic retinopathy,351.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011849,2059,332.0,408410002.0,O/E - left eye background diabetic retinopathy,279.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011849,905,58.0,408411003.0,O/E - right eye preproliferative diabetic retinopathy,184.0,3.0,1092,73211009,Diabetes mellitus,16,8
C0011849,318,10.0,408412005.0,O/E - left eye preproliferative diabetic retinopathy,353.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011849,1467,432.0,408413000.0,O/E - right eye proliferative diabetic retinopathy,347.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011849,1180,202.0,408414006.0,O/E - left eye proliferative diabetic retinopathy,195.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011849,2060,829.0,408415007.0,O/E - right eye diabetic maculopathy,301.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011849,1765,370.0,408416008.0,O/E - left eye diabetic maculopathy,328.0,2.0,1092,73211009,Diabetes mellitus,16,8
C0011884,19,166.0,408409007.0,O/E - right eye background diabetic retinopathy,351.0,2.0,928,4855003,Diabetic retinopathy,230,2
C0011884,2061,332.0,408410002.0,O/E - left eye background diabetic retinopathy,279.0,2.0,928,4855003,Diabetic retinopathy,230,2
C0012569,1766,735.0,75364009.0,Refractive diplopia,240.0,2.0,312,24982008,Diplopia (disorder),133,3
C0012569,1181,343.0,50446000.0,Monocular diplopia,273.0,2.0,312,24982008,Diplopia (disorder),133,3
C0012569,20,622.0,131182003.0,Visual alteration,30.0,9.0,312,24982008,Diplopia (disorder),133,3
C0012634,1468,594.0,404684003.0,Clinical finding,617.0,1.0,384,64572001,Disease (disorder),346,2
C0012634,319,242.0,300359004.0,Finding of vomiting,12.0,16.0,384,64572001,Disease (disorder),346,2
C0012634,319,342.0,249497008.0,Vomiting symptom,12.0,16.0,384,64572001,Disease (disorder),346,2
C0013080,320,62.0,66966006.0,Cry of Down's syndrome,466.0,1.0,931,41040004,Complete trisomy 21 syndrome,1476,1
C0013238,2062,121.0,162290004.0,Dry eyes,501.0,1.0,429,46152009,Tear film insufficiency,1606,1
C0013238,2062,336.0,1249004.0,Dry eye,501.0,1.0,429,46152009,Tear film insufficiency,1606,1
C0013369,1182,386.0,267060006.0,Diarrhea symptom,5.0,39.0,1041,19213003,Infectious diarrheal disease,591,1
C0013369,1182,386.0,267060006.0,Diarrhea symptom,5.0,39.0,1713,236076004,Infective diarrhea,591,1
C0013369,1182,489.0,398032003.0,Loose stool,5.0,39.0,1041,19213003,Infectious diarrheal disease,591,1
C0013369,1182,489.0,398032003.0,Loose stool,5.0,39.0,1713,236076004,Infective diarrhea,591,1
C0013384,1470,610.0,52559000.0,Motor dysfunction,90.0,4.0,970,9748009,Dyskinesia,26,5
C0013384,1767,108.0,61691009.0,Adiadochokinesia,688.0,1.0,970,9748009,Dyskinesia,26,5
C0013384,21,732.0,23133003.0,Dysdiadochokinesis,770.0,1.0,970,9748009,Dyskinesia,26,5
C0013384,1469,768.0,95630007.0,Neonatal dyskinesia,684.0,1.0,970,9748009,Dyskinesia,26,5
C0013384,1471,588.0,302289002.0,Coordination problem,19.0,12.0,970,9748009,Dyskinesia,26,5
C0013394,321,128.0,162143008.0,Pain in female genitalia,292.0,2.0,192,81712001,Pain in female genitalia on intercourse,251,2
C0013394,2063,776.0,279056004.0,Pain on penetration,447.0,1.0,192,81712001,Pain in female genitalia on intercourse,251,2
C0013405,1183,244.0,230145002.0,Difficulty breathing,196.0,2.0,1746,59265000,Paroxysmal dyspnea,255,2
C0013405,599,609.0,55442000.0,Paroxysmal nocturnal dyspnea (finding),593.0,1.0,1746,59265000,Paroxysmal dyspnea,255,2
C0013423,322,38.0,230332007.0,Diurnal dystonia,249.0,2.0,621,22451001,Primary torsion dystonia,1005,1
C0013423,322,38.0,230332007.0,Diurnal dystonia,249.0,2.0,829,431034009,Torsion dystonia,1005,1
C0013447,906,471.0,194399009.0,Loudness recruitment,299.0,2.0,1473,25906001,Disorder of ear,45,4
C0013447,1472,466.0,20364005.0,Paracusis (disorder),539.0,1.0,1473,25906001,Disorder of ear,45,4
C0013447,907,358.0,26322001.0,Bleeding from ear,78.0,4.0,1473,25906001,Disorder of ear,45,4
C0013447,1768,106.0,272033007.0,Deafness symptom,753.0,1.0,1473,25906001,Disorder of ear,45,4
C0013537,908,561.0,91175000.0,Seizure,1.0,169.0,966,15938005,Eclampsia (disorder),434,1
C0013677,1473,221.0,212968006.0,Starvation (disorder),67.0,5.0,1619,285588004,Nutrition deficiency due to insufficient food,465,1
C0014122,323,824.0,63757006.0,Osler's node,170.0,3.0,318,73774007,Subacute bacterial endocarditis,1306,1
C0014130,600,107.0,300860002.0,Mass of endocrine structure,723.0,1.0,1662,362969004,Disorder of endocrine system,273,2
C0014130,22,726.0,301363002.0,Pain of endocrine structure,572.0,1.0,1662,362969004,Disorder of endocrine system,273,2
C0014175,601,411.0,22253000.0,Pain (finding),2.0,136.0,479,129103003,Endometriosis (clinical),1499,1
C0014177,324,411.0,22253000.0,Pain (finding),2.0,136.0,179,22611009,Endometriosis of fallopian tube,1307,1
C0014518,23,618.0,444827008.0,Erythema of skin,3.0,89.0,1608,23067006,"Lyell's toxic epidermal necrolysis, subepidermal type",1132,1
C0014518,23,830.0,86735004.0,Erythematous condition,3.0,89.0,1608,23067006,"Lyell's toxic epidermal necrolysis, subepidermal type",1132,1
C0014544,602,561.0,91175000.0,Seizure,1.0,169.0,506,313307000,Epileptic seizure,137,3
C0014544,602,561.0,91175000.0,Seizure,1.0,169.0,507,128613002,Seizure disorder,137,3
C0014544,1769,686.0,57935008.0,Epileptic aura,754.0,1.0,506,313307000,Epileptic seizure,137,3
C0014544,1769,686.0,57935008.0,Epileptic aura,754.0,1.0,507,128613002,Seizure disorder,137,3
C0014544,1770,623.0,29753000.0,Partial seizure,10.0,22.0,506,313307000,Epileptic seizure,137,3
C0014544,1770,623.0,29753000.0,Partial seizure,10.0,22.0,507,128613002,Seizure disorder,137,3
C0014547,1184,561.0,91175000.0,Seizure,1.0,169.0,1228,230381009,Localization-related epilepsy,321,2
C0014547,325,623.0,29753000.0,Partial seizure,10.0,22.0,1228,230381009,Localization-related epilepsy,321,2
C0014548,326,561.0,91175000.0,Seizure,1.0,169.0,250,19598007,Generalized epilepsy,682,1
C0014549,327,561.0,91175000.0,Seizure,1.0,169.0,893,352818000,Tonic-clonic epilepsy,683,1
C0014550,24,241.0,127324008.0,Myoclonic disorder,7.0,29.0,616,192992007,Epileptic seizures - myoclonic,368,2
C0014550,24,241.0,127324008.0,Myoclonic disorder,7.0,29.0,825,37356005,Myoclonic seizure,368,2
C0014550,2064,561.0,91175000.0,Seizure,1.0,169.0,616,192992007,Epileptic seizures - myoclonic,368,2
C0014550,2064,561.0,91175000.0,Seizure,1.0,169.0,825,37356005,Myoclonic seizure,368,2
C0014553,1185,561.0,91175000.0,Seizure,1.0,169.0,519,50866000,Childhood absence epilepsy,331,2
C0014553,1185,561.0,91175000.0,Seizure,1.0,169.0,738,79631006,Absence seizure,331,2
C0014553,1185,561.0,91175000.0,Seizure,1.0,169.0,1399,230413002,Juvenile absence epilepsy,331,2
C0014553,2065,,,,,,519,50866000,Childhood absence epilepsy,331,2
C0014553,2065,,,,,,738,79631006,Absence seizure,331,2
C0014553,2065,,,,,,1399,230413002,Juvenile absence epilepsy,331,2
C0014556,1474,561.0,91175000.0,Seizure,1.0,169.0,1339,193000002,Temporal lobe epilepsy,605,1
C0014718,2066,618.0,444827008.0,Erythema of skin,3.0,89.0,70,266158001,Candidal intertrigo,1607,1
C0014718,2066,830.0,86735004.0,Erythematous condition,3.0,89.0,70,266158001,Candidal intertrigo,1607,1
C0014740,2067,618.0,444827008.0,Erythema of skin,3.0,89.0,1252,69588003,Erythema chronica migrans,1608,1
C0014740,2067,830.0,86735004.0,Erythematous condition,3.0,89.0,1252,69588003,Erythema chronica migrans,1608,1
C0014742,328,618.0,444827008.0,Erythema of skin,3.0,89.0,1634,36715001,Erythema multiforme,1006,1
C0014742,328,830.0,86735004.0,Erythematous condition,3.0,89.0,1634,36715001,Erythema multiforme,1006,1
C0014747,25,618.0,444827008.0,Erythema of skin,3.0,89.0,607,54792008,Erythematosquamous dermatosis,1290,1
C0014747,25,830.0,86735004.0,Erythematous condition,3.0,89.0,607,54792008,Erythematosquamous dermatosis,1290,1
C0014804,1475,411.0,22253000.0,Pain (finding),2.0,136.0,534,37151006,Erythromelalgia (disorder),188,2
C0014804,603,618.0,444827008.0,Erythema of skin,3.0,89.0,534,37151006,Erythromelalgia (disorder),188,2
C0014804,603,830.0,86735004.0,Erythematous condition,3.0,89.0,534,37151006,Erythromelalgia (disorder),188,2
C0014805,604,411.0,22253000.0,Pain (finding),2.0,136.0,1380,403390002,Primary erythromelalgia,256,2
C0014805,2068,618.0,444827008.0,Erythema of skin,3.0,89.0,1380,403390002,Primary erythromelalgia,256,2
C0014805,2068,830.0,86735004.0,Erythematous condition,3.0,89.0,1380,403390002,Primary erythromelalgia,256,2
C0014866,2069,414.0,5805002.0,Bolus impaction,810.0,1.0,10,63305008,Stricture of esophagus,1432,1
C0015230,1771,618.0,444827008.0,Erythema of skin,3.0,89.0,328,112625008,Cutaneous eruption,22,5
C0015230,1771,618.0,444827008.0,Erythema of skin,3.0,89.0,967,271807003,Eruption,22,5
C0015230,1771,830.0,86735004.0,Erythematous condition,3.0,89.0,328,112625008,Cutaneous eruption,22,5
C0015230,1771,830.0,86735004.0,Erythematous condition,3.0,89.0,967,271807003,Eruption,22,5
C0015230,26,836.0,271756005.0,Macular eruption,97.0,4.0,328,112625008,Cutaneous eruption,22,5
C0015230,26,836.0,271756005.0,Macular eruption,97.0,4.0,967,271807003,Eruption,22,5
C0015230,2070,323.0,247472004.0,Weal,54.0,6.0,328,112625008,Cutaneous eruption,22,5
C0015230,2070,323.0,247472004.0,Weal,54.0,6.0,967,271807003,Eruption,22,5
C0015230,1186,638.0,238425003.0,Meningococcal rash,189.0,3.0,328,112625008,Cutaneous eruption,22,5
C0015230,1186,638.0,238425003.0,Meningococcal rash,189.0,3.0,967,271807003,Eruption,22,5
C0015230,27,276.0,285305004.0,Spots on skin (disorder),245.0,2.0,328,112625008,Cutaneous eruption,22,5
C0015230,27,276.0,285305004.0,Spots on skin (disorder),245.0,2.0,967,271807003,Eruption,22,5
C0015300,1772,124.0,267655008.0,Exophthalmos due to orbital edema or congestion,628.0,1.0,1620,18265008,Exophthalmos (disorder),492,1
C0015371,1187,703.0,58593005.0,Athetoid movement,32.0,8.0,1046,76349003,Extrapyramidal disease,189,2
C0015371,605,677.0,66637005.0,Hemiballism (disorder),199.0,2.0,1046,76349003,Extrapyramidal disease,189,2
C0015397,606,81.0,232146005.0,Internal ophthalmoplegia,119.0,3.0,358,371405004,Disorder of eye proper (disorder),88,3
C0015397,2071,21.0,18628002.0,Discharge of eye,173.0,3.0,358,371405004,Disorder of eye proper (disorder),88,3
C0015397,28,440.0,314496008.0,Contact lens related disorder,193.0,3.0,358,371405004,Disorder of eye proper (disorder),88,3
C0015423,1476,774.0,59026006.0,Blepharospasm (disorder),49.0,7.0,1071,60113004,Disorder of eyelid,1086,1
C0015544,1188,4.0,36440009.0,Failure to gain weight (finding),790.0,1.0,1182,433476000,Failure to thrive in infant,124,3
C0015544,1188,4.0,36440009.0,Failure to gain weight (finding),790.0,1.0,1183,54840006,Failure to thrive,124,3
C0015544,607,64.0,274626005.0,Physiological development failure,517.0,1.0,1182,433476000,Failure to thrive in infant,124,3
C0015544,607,64.0,274626005.0,Physiological development failure,517.0,1.0,1183,54840006,Failure to thrive,124,3
C0015544,329,550.0,274247004.0,"[D]Weight, failure to gain, infant",359.0,1.0,1182,433476000,Failure to thrive in infant,124,3
C0015544,329,550.0,274247004.0,"[D]Weight, failure to gain, infant",359.0,1.0,1183,54840006,Failure to thrive,124,3
C0015544,329,551.0,158279003.0,"Weight,fail to gain,infant [D]",359.0,1.0,1182,433476000,Failure to thrive in infant,124,3
C0015544,329,551.0,158279003.0,"Weight,fail to gain,infant [D]",359.0,1.0,1183,54840006,Failure to thrive,124,3
C0015634,330,587.0,103626005.0,Diffuse inflammation,27.0,11.0,1551,18690003,Farmers' lung,1007,1
C0015674,1773,,,,,,1167,51771007,Postviral fatigue syndrome,1576,1
C0015674,1773,,,,,,1394,52702003,Chronic fatigue syndrome,1576,1
C0015732,1190,458.0,17201003.0,Spillage of feces,736.0,1.0,1112,72042002,Incontinence of feces,15,8
C0015732,29,586.0,162106006.0,Spurious diarrhea - overflow,406.0,1.0,1112,72042002,Incontinence of feces,15,8
C0015732,2072,53.0,78459008.0,Double incontinence (finding),333.0,2.0,1112,72042002,Incontinence of feces,15,8
C0015732,2073,37.0,165230005.0,Bowels: occasional accident,397.0,1.0,1112,72042002,Incontinence of feces,15,8
