disease,symptom
Lymphocyst,Mass of lymphoreticular structure
Lymph cyst,Mass of lymphoreticular structure
Malarial fever,Intermittent fever
Disease due to Plasmodiidae,Intermittent fever
Malarial fever,Malarial pigment deposition
Disease due to Plasmodiidae,Malarial pigment deposition
Melanosis (morphologic abnormality),Melasma gravidarum
Melanosis (disorder),Melasma gravidarum
Chloasma (disorder),Melasma gravidarum
Ménière's disease,Secondary endolymphatic hydrops
Meningococcal infectious disease,Meningococcal rash
Metabolic disease,Hypoproteinemia (disorder)
Generalized metabolic disorder,Hypoproteinemia (disorder)
Metabolic disease,Polyuric state
Generalized metabolic disorder,Polyuric state
Motion sickness,Nausea (finding)
Dental fluorosis,Teeth staining due to drugs
Disease of mouth,Oral paresthesia
Disease of mouth,Oral hypoesthesia
Disease of mouth,Edema of oral vestibule
Movement disorder,Myoclonic disorder
Movement disorder,Grimaces
Movement disorder,Painful legs and moving toes
Disorder of muscle,Gastric spasm
Disorder of muscle,Flaccidity of muscle of upper limb
Myalgia and myositis unspecified,Muscle pain
Myalgia and myositis unspecified,Muscle tension pain
Myalgia and myositis unspecified,Skeletal muscle tender (finding)
Myxedema (disorder),Hard edema
Disorder of nail,Subungual hyperkeratosis
Disorder of nail,Clubbing of nail (disorder)
Disorder of nail,Onychomadesis
Narcolepsy (disorder),Hypersomnia (disorder)
Nasociliary neuralgia,Pain (finding)
Disorder of nasopharynx,Palatal myoclonus
Disorder of nervous system,Reaction to spinal or lumbar puncture (disorder)
Disorder of the nose,Snuffles
Disorder of the nose,Nasal discharge
Disorder of the nose,Nasal discharge present
Nystagmus (disorder),Voluntary nystagmus
Nystagmus (disorder),Irregular nystagmus
Nystagmus (disorder),Uniocular nystagmus
Nystagmus (disorder),Gaze paretic nystagmus
Nystagmus (disorder),Nystagmus produced by neck rotation
Nystagmus (disorder),Nystagmus enhanced when fixation removed
Nystagmus (disorder),Nystagmus unchanged when fixation removed
Nystagmus (disorder),Nystagmus inhibited when fixation removed
Nystagmus (disorder),Nystagmus signs
Nystagmus (disorder),Elliptical nystagmus
Disorder of eye movements,Ophthalmoplegia (disorder)
Disorder of eye movements,Pseudoophthalmoplegia (disorder)
Omphalitis,Disorder of umbilicus
Pachydermoperiostosis syndrome,Clubbing (morphologic abnormality)
Pachydermoperiostosis of nail,Clubbing (morphologic abnormality)
Other and unspecified diseases of oral soft tissue,Paralysis of palate
Other and unspecified diseases of oral soft tissue,Painful mouth
Other and unspecified diseases of oral soft tissue,Edema of oral soft tissues
Other and unspecified diseases of oral soft tissue,Discomfort in mouth
Other and unspecified diseases of oral soft tissue,Mouth symptoms
Other and unspecified diseases of oral soft tissue,Sore lip (finding)
Other and unspecified diseases of oral soft tissue,Edema of uvula
Other and unspecified diseases of oral soft tissue,Mass of oral cavity
Other and unspecified diseases of oral soft tissue,Pain of oral cavity structure
Other and unspecified diseases of oral soft tissue,Tenderness of oral cavity structure
Other and unspecified diseases of oral soft tissue,Edema of oral vestibule
Other and unspecified diseases of oral soft tissue,Sore mouth (finding)
Other non-alcoholic chronic liver disease,Hepatosplenomegaly
Other non-alcoholic chronic liver disease NOS,Hepatosplenomegaly
Other nasal cavity and sinus disease,Nasal congestion
Other nasal cavity and sinus disease,Posterior rhinorrhea (disorder)
Other nasal cavity and sinus disease,Congestion of nasal sinus
Other nasal cavity and sinus disease,Purulent nasal discharge
Other nasal cavity and sinus disease,Purulent rhinitis
Other nasal cavity and sinus disease,Catarrhal nasal discharge
Other nasal cavity and sinus disease,Sore nostril
Other nasal cavity and sinus disease,Maxillary sinus pain
Other nasal cavity and sinus disease,Frontal sinus pain
Other nasal cavity and sinus disease,Snuffles
Other nasal cavity and sinus disease,Nasal discharge
Other nasal cavity and sinus disease,Nasal discharge present
Other disorders of plasma protein metabolism NOS,Hypoproteinemia (disorder)
Other disorder of plasma protein metabolism,Hypoproteinemia (disorder)
Other forms of nystagmus (disorder),Voluntary nystagmus
Other forms of nystagmus (disorder),Mixed nystagmus
Other forms of nystagmus (disorder),Postural nystagmus
Other forms of nystagmus (disorder),Spontaneous nystagmus
Other forms of nystagmus (disorder),Body positional nystagmus
Other forms of nystagmus (disorder),Neck positional nystagmus
Other forms of nystagmus (disorder),"Positional nystagmus, variable eye direction"
Other forms of nystagmus (disorder),Nystagmus produced by neck rotation
Other forms of nystagmus (disorder),Nystagmus enhanced when fixation removed
Other forms of nystagmus (disorder),Nystagmus unchanged when fixation removed
Other forms of nystagmus (disorder),Nystagmus inhibited when fixation removed
Other forms of nystagmus (disorder),Bruns nystagmus
Other forms of nystagmus (disorder),Elliptical nystagmus
Other specific muscle disorder,Flaccidity - muscle
[X]Other specified disorders of muscle,Flaccidity - muscle
Other specific muscle disorder NOS,Flaccidity - muscle
Other specific muscle disorder,Flaccidity
[X]Other specified disorders of muscle,Flaccidity
Other specific muscle disorder NOS,Flaccidity
Other specific muscle disorder,Drop attack
[X]Other specified disorders of muscle,Drop attack
Other specific muscle disorder NOS,Drop attack
Other specific muscle disorder,Flaccidity of muscle of lower limb
[X]Other specified disorders of muscle,Flaccidity of muscle of lower limb
Other specific muscle disorder NOS,Flaccidity of muscle of lower limb
[X]Other specified diseases of hard tissues of teeth,Tooth sensitivity to cold
[X]Other specified diseases of hard tissues of teeth,Tooth sensitivity to heat
[X]Other specified diseases of pancreas,Courvoisier's sign
[X]Other specified diseases of pancreas,Pancreatic pain
[X]Other specified disorders of bladder,Bladder distention (finding)
[X]Other specified disorders of bladder,Painful bladder spasm
[X]Other specified disorders of bladder,Spasm of bladder
[X]Other specified disorders of kidney and ureter,Ureteric neuromuscular incoordination
Other male genital organ diseases OS,Spermatoschesis
Other specified diseases of male genital organ,Spermatoschesis
[X]Other specified disorders of male genital organs,Spermatoschesis
Other male genital organ diseases OS,Spermatemphraxis
Other specified diseases of male genital organ,Spermatemphraxis
[X]Other specified disorders of male genital organs,Spermatemphraxis
Other male genital organ diseases OS,Painful sexual act of male
Other specified diseases of male genital organ,Painful sexual act of male
[X]Other specified disorders of male genital organs,Painful sexual act of male
Other male genital organ diseases OS,Pain in male perineum
Other specified diseases of male genital organ,Pain in male perineum
[X]Other specified disorders of male genital organs,Pain in male perineum
Other male genital organ diseases OS,Vas deferens tender
Other specified diseases of male genital organ,Vas deferens tender
[X]Other specified disorders of male genital organs,Vas deferens tender
Other male genital organ diseases OS,Painful ejaculation (finding)
Other specified diseases of male genital organ,Painful ejaculation (finding)
[X]Other specified disorders of male genital organs,Painful ejaculation (finding)
Other male genital organ diseases OS,Testicular neuralgia
Other specified diseases of male genital organ,Testicular neuralgia
[X]Other specified disorders of male genital organs,Testicular neuralgia
Other male genital organ diseases OS,Mass of male genital structure
Other specified diseases of male genital organ,Mass of male genital structure
[X]Other specified disorders of male genital organs,Mass of male genital structure
Other male genital organ diseases OS,Inflammatory testicular mass
Other specified diseases of male genital organ,Inflammatory testicular mass
[X]Other specified disorders of male genital organs,Inflammatory testicular mass
[X]Other specified disorders of penis,Irritation of penis
Other specified skin disorder NOS,Macular eruption
Other specified skin disorders,Macular eruption
Other specified skin disorder NOS,Weal
Other specified skin disorders,Weal
Other specified skin disorder NOS,Puffiness of skin
Other specified skin disorders,Puffiness of skin
Other specified skin disorder NOS,Auspitz's sign
Other specified skin disorders,Auspitz's sign
Other specified skin disorder NOS,Menstrual urticaria
Other specified skin disorders,Menstrual urticaria
Other specified skin disorder NOS,Chapping of lips
Other specified skin disorders,Chapping of lips
Other specified skin disorder NOS,Cracked lips
Other specified skin disorders,Cracked lips
Other specified skin disorder NOS,Macerated skin
Other specified skin disorders,Macerated skin
Other specified skin disorder NOS,Bullous weal
Other specified skin disorders,Bullous weal
Other specified skin disorder NOS,Malarial pigment deposition
Other specified skin disorders,Malarial pigment deposition
[X]Other specified disorders of teeth and supporting structures,Loosening of tooth (disorder)
[X]Other specified erythematous conditions,Erythema of skin
[X]Other specified erythematous conditions,Erythematous condition
[X]Other specified erythematous conditions,Erythema scarlatiniforme
[X]Other specified erythematous conditions,Erythema fugax
[X]Other specified erythematous conditions,Erythematous ear canal
[X]Other specified erythematous conditions,Micropapular weal
[X]Other specified erythematous conditions,Erythematous mucosa
Other specified atrophic and hypertrophic conditions of skin,Circumoral rhytides
Other specified atrophic and hypertrophic conditions of skin NOS,Circumoral rhytides
Other specified atrophic and hypertrophic conditions of skin,Stellate pseudoscar
Other specified atrophic and hypertrophic conditions of skin NOS,Stellate pseudoscar
[X]Other specified myoneural disorders,Benign congenital hypotonia (disorder)
[X]Other specified noninflammatory disorders of vagina,Swelling of vagina
Other specified periodontal disease,Sore gums
Other specified periodontal disease NOS,Sore gums
Other specified periodontal disease,Gingival edema
Other specified periodontal disease NOS,Gingival edema
Other specified schistosoma NOS,Schistosomal pigment deposition
Other specified urticaria NOS,Immune complex urticaria
[X]Other synovitis and tenosynovitis,Subsultus tendinum
Disorder of pancreas,Pancreatic symptom
Erythema nodosum migrans,Erythema of skin
Erythema nodosum migrans,Erythematous condition
Optic disc swelling,Mass of eye structure
Optic papillitis,Mass of eye structure
Optic disc edema,Mass of eye structure
Optic disc swelling,Swelling of structure of eye
Optic papillitis,Swelling of structure of eye
Optic disc edema,Swelling of structure of eye
Parakeratosis (disorder),Erythema of skin
Parakeratosis (morphologic abnormality),Erythema of skin
Parakeratosis (disorder),Erythematous condition
Parakeratosis (morphologic abnormality),Erythematous condition
Paramyoclonus multiplex,Myoclonic disorder
Disorder of nasal sinus,Congestion of nasal sinus
Paraplegia (disorder),Spinal paraparesis
Paraplegia (disorder),Flaccid paraplegia
Parasomnia (disorder),Sleep-related head banging
Parasomnia (disorder),Reaction to sudden wakening
Parasomnia (disorder),Sleep automatism
Parkinson's disease,Parkinsonian tremor
Disorder of penis,Lesion of penis
Disorder of penis,Edema of penis
Disorder of penis,Pruritus of penis
Disorder of penis,Pain in penis (finding)
Apical granuloma,Mass of oral cavity
Disorder of the peripheral nervous system,Neuropathic pain
Peripheral nerve disease,Neuropathic pain
Disorder of the peripheral nervous system,Intercostal neuralgia
Peripheral nerve disease,Intercostal neuralgia
Disorder of the peripheral nervous system,Cruralgia
Peripheral nerve disease,Cruralgia
Peripheral neuralgia,Neuropathic pain
Peripheral neuralgia,Pain (finding)
Peripheral neuralgia,Sciatica (disorder)
Peripheral neuralgia,Femoral neuralgia
Peripheral neuralgia,Intercostal neuralgia
Peripheral neuralgia,Lateral femoral cutaneous neuralgia
Peripheral neuralgia,Obturator neuralgia
Peripheral neuralgia,Cruralgia
Peripheral neuralgia,Segmental peripheral neuralgia
Peripheral neuralgia,Ilioinguinal nerve neuralgia
Peripheral neuralgia,Genitofemoral nerve neuralgia
Peripheral neuralgia,Testicular neuralgia
Disorder of peritoneum,Intra-abdominal collection
Petechia,Neonatal facial petechiae
Petechiae of skin,Neonatal facial petechiae
Pharyngitis (disorder),Pain in throat
Pharyngitis (disorder),Sore throat symptom
Polymorphic light eruption,Juvenile spring eruption
Polymorphous light eruption,Juvenile spring eruption
Photodermatitis (disorder),Actinic reaction
Epidemic pleurodynia,Pain (finding)
Pneumatosis cystoides intestinalis,Mass of digestive structure
Polymyalgia rheumatica,Pain (finding)
Polymyalgia rheumatica,Polymyalgia
Postherpetic neuralgia (disorder),Neuropathic pain
Postherpetic neuralgia (disorder),Pain (finding)
Postinfectious neuralgia,Neuropathic pain
Postinfectious neuralgia,Pain (finding)
Pregnancy complications,Pruritus of pregnancy
Complication related to pregnancy,Pruritus of pregnancy
Pregnancy complications,Back pain complicating pregnancy
Complication related to pregnancy,Back pain complicating pregnancy
Ectopic atrial beats,Junctional premature beats
Supraventricular premature beats,Junctional premature beats
Atrial premature complex,Junctional premature beats
Premature atrial contraction,Junctional premature beats
Pretibial myxedema,Edema of lower leg
Priapism (disorder),Painful penile erection
Priapism (disorder),(Priapism) or (erection - painful)
Primary insomnia,Insomnia (disorder)
Disorder of prostate,Prostatic pain (finding)
Disorder of prostate,Prostatism (disorder)
Disorder of prostate,Prostatorrhea
Pruritic rash,Pruritus of skin
Pruritic rash,Itching of skin
Pruritic rash,Itch of skin
Prurigo papule,Pruritus of skin
Prurigo papule,Itching of skin
Prurigo papule,Itch of skin
Tension-type headache,Headache (finding)
Psychogenic headache,Headache (finding)
Tension-type headache,Occipital headache
Psychogenic headache,Occipital headache
Purpuric disorder,Cryoglobulinemic purpura
Quadriplegia (disorder),Flaccid tetraplegia
Radiculitis (disorder),Neuropathic pain
"Complex regional pain syndrome, type I",Pain (finding)
Shoulder-hand syndrome,Pain (finding)
Disorder of refraction,Aniseikonia (disorder)
Disorder of refraction,Refractive diplopia
Disorder of respiratory system,[D]Respiratory abnormalities
Disorder of respiratory system,[D]Respiratory abnormalities NOS
Disorder of respiratory system,Restrained respiration
Retinopathy,Retina finding
Retinal disorder,Retina finding
Retinopathy,O/E - retinopathy
Retinal disorder,O/E - retinopathy
Rhinitis (disorder),Purulent nasal discharge
Rhinitis (disorder),Purulent rhinitis
Rhinitis (disorder),Rhinitis due to alpha-adrenergic blocking agent
Disorder of salivary gland,Sialectasia
Infection by Schistosoma,Schistosomal pigment deposition
Disease due to Schistosomatidae,Schistosomal pigment deposition
Disorder of sclera,Scleral discoloration
Scleredema (disorder),Thickening of skin
Visual field defect,Scintillating scotoma
Visual field scotoma,Scintillating scotoma
Visual field defect,Angioscotoma
Visual field scotoma,Angioscotoma
Visual field defect,Ring scotoma
Visual field scotoma,Ring scotoma
Visual field defect,Quadrantic scotoma
Visual field scotoma,Quadrantic scotoma
Silo-fillers' disease,Acute edema
Disorder of skin,Pruritus of skin
Disorder of skin,Itching of skin
Disorder of skin,Itch of skin
Disorder of skin,Skin irritation
Disorder of skin,Thickening of skin
Disorder of skin,Cryoglobulinemic purpura
Infection of skin,Osler's node
Parasitic infection of skin,Malarial pigment deposition
Skin lesion,Tuberculous chancre
Skin lesion,Clubbing of nail (disorder)
Skin lesion,Spots on skin (disorder)
Sleep apnea,Hypersomnia with sleep apnea
Sleep walking disorder,Sleep automatism
West syndrome,Seizure
Sphenopalatine neuralgia,Pain (finding)
Spinal cord disease,Edema of spinal cord
Vertebral column syndromes,Other back symptoms (disorder)
Disorder of spine,Other back symptoms (disorder)
Sporotrichosis (disorder),Sporotrichotic chancre
Status epilepticus,Seizure
Stevens-Johnson syndrome,Erythema of skin
